Table_Name,ObjectID,NumOID,ImportID,ModelID,Num_ModelID,Structured_Type_ID,Num_Structured_Type_ID,Structured_Type_Name,Number_Data_Elements,Classification_Type,Allow_Type_Substitution,Min_Volume,Expected_Volume,Max_Volume,Growth_Rate_Percents,Growth_Rate_Interval,Normal_Form,Temporary_Object_Scope,Adequately_Normalized,Substitution_Parent,Num_Substitution_Parent,Engineer,Spatial_Table,OID_is_PK,OID_is_User_Defined,Include_Scripts_Into_DDL
"BasicUserTransactions",C6DD007D-4963-AA16-0A4C-1A11A505E668,149,,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,,,,6,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Budgets_(for_premium_users)",8107D623-C9C0-39A2-6ACE-58AAF7A96316,150,,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"ExpenseCategories_(For_Premium_Users)",2377A240-78E0-EC57-8C3F-6A3292D0682D,151,,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Expenses_(For_Premium_Users)",2AAB9569-423D-1D66-AD84-27A2305C61AA,152,,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,,,,7,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"IncomeCategories_(For_Premium_Users)",9A6BC923-64FD-AD40-1246-0FF1FC3AD78A,153,,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Incomes_(For_Premium_Users)",33D7FA58-130E-71FC-641D-B65834805AC6,154,,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,,,,7,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Users",B336B49B-DAD4-4065-0A6D-0E176EB19CDE,155,,F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,,,,6,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
