Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"user_id",B457A491-2233-B148-DAF4-3A7EA5283169,122,,C0E63DD3-0742-CE38-F039-0515F156332E,86,Y,Logical Type,,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,,,67BE8905-706C-51F3-A094-0984E670918F,140,"Budgets (for premium users)",,F,"Relation_1",5,,,,,
"user_id",18F33BD2-7085-DCD7-F1C7-964B5FF2A1C4,123,,81F83852-7B93-698E-8486-3E5C90F96089,89,Y,Logical Type,,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,,,6BCA7F9E-EE66-63D1-6EF9-0793D40466C9,142,"IncomeCategories (For Premium Users)",,F,"Relation_4",2,,,,,
"user_id",94093031-1622-C97E-AF42-282244FA2435,124,,1F5F29B8-772F-27B4-9506-52717DA4FBA9,87,Y,Logical Type,,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,,,17D0CF36-25C7-F06C-9DB9-243D25049CBB,143,"ExpenseCategories (For Premium Users)",,F,"Relation_5",5,,,,,
"user_type",34FC633E-0047-FD6A-6DD0-512D70BB5E46,125,,889C546B-BEB0-137B-BB6E-C22D6934D257,91,Y,Domain,,,,,3FFB507A-6D86-6C0B-2A86-FD67B5F544A4,12,LOGDT024,77,,,,,,,,,Y,"user_type",VARCHAR,,,,,,,,"Users",,,,4,15,,,,
"username",7A8E3BA6-DC6F-1FFB-2A5F-EC17F48D1EC2,126,,889C546B-BEB0-137B-BB6E-C22D6934D257,91,Y,Domain,,,,,C5428215-20D6-8392-9CD9-52DA52901965,13,LOGDT024,77,,,,,,,,,Y,"VARCHAR15",VARCHAR,,,,,,,,"Users",,,,2,15,,,,
"transaction_id",2FC9A5F6-7A7A-8278-C36B-028FA5A6AA0A,127,,BD99A375-5A50-B7C5-125F-444D0295849E,85,Y,Logical Type,,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,,,,,"BasicUserTransactions",P,,,1,,,,,
"total_income",EF795721-B2EE-1C1C-E0CA-8170A6F778F3,128,,BD99A375-5A50-B7C5-125F-444D0295849E,85,Y,Logical Type,,,,,DOM3000004,11,LOGDT026,33,,,,,,,,,N,,DECIMAL,,,,,,,,"BasicUserTransactions",,,,3,,10,2,,
"total_expense",83B84B2E-FA92-E475-047E-19C06661D3F4,129,,BD99A375-5A50-B7C5-125F-444D0295849E,85,Y,Logical Type,,,,,DOM3000004,11,LOGDT026,33,,,,,,,,,N,,DECIMAL,,,,,,,,"BasicUserTransactions",,,,4,,10,2,,
"created_at",89A826DB-29E8-257A-9017-2DFC93C53D21,130,,BD99A375-5A50-B7C5-125F-444D0295849E,85,Y,Logical Type,,,,,DOM3000004,11,LOGDT008,30,,,,,,,,,N,,Datetime,,,,,,,,"BasicUserTransactions",,,,5,,,,,
"updated_at",1AE3F6E7-4402-2929-2FC9-25DBFE78C1EC,131,,BD99A375-5A50-B7C5-125F-444D0295849E,85,Y,Logical Type,,,,,DOM3000004,11,LOGDT008,30,,,,,,,,,N,,Datetime,,,,,,,,"BasicUserTransactions",,,,6,,,,,
"user_id",99E7B3AF-1ADA-4BA6-128B-4385FA1E2B04,132,,BD99A375-5A50-B7C5-125F-444D0295849E,85,Y,Logical Type,,,,,DOM3000004,11,LOGDT011,42,,,,,,,,,N,,Integer,,,,,,31730FFA-34E9-BE81-59BF-6DD92F738FD5,141,"BasicUserTransactions",,F,"Relation_10",2,,,,,
