Index_ID,Num_Index_ID,ColumnID,Num_ColumnID,Table_ID,Num_Table_ID,Index_Name,Table_Name,Column_Name,Sequence,Sort_Order
685345DF-C7DF-1BF4-98EF-9BDC9DD9E526,197,064FE34C-4B37-CBEE-474F-8757801398A1,182,C6DD007D-4963-AA16-0A4C-1A11A505E668,149,"BasicUserTransactions_PK","BasicUserTransactions","transaction_id",1,ASC,
8D7A2557-BEB3-579D-8BBA-BAC73BF13A2C,198,1A8601C1-5F1C-E0B3-ABB2-DC6FA2495FDF,158,8107D623-C9C0-39A2-6ACE-58AAF7A96316,150,"Budgets_(for_premium_users)_PK","Budgets_(for_premium_users)","budget_id",1,ASC,
041C6B32-15D6-13AB-F133-362FC5EE961A,199,D5865D63-8D43-8503-3610-0E59B99C584C,162,2377A240-78E0-EC57-8C3F-6A3292D0682D,151,"ExpenseCategories_(For_Premium_Users)_PK","ExpenseCategories_(For_Premium_Users)","category_id",1,ASC,
5272B875-3A0C-FD2E-7312-65E97F0406B2,200,0B93EFC1-DBC3-A222-F727-9EA905F045C5,177,2AAB9569-423D-1D66-AD84-27A2305C61AA,152,"Expenses_(For_Premium_Users)_PK","Expenses_(For_Premium_Users)","expense_id",1,ASC,
430A2686-6CE3-CFB4-D464-271703E020D7,201,A4AEC34F-A779-ADE7-A79E-116E977FB688,164,9A6BC923-64FD-AD40-1246-0FF1FC3AD78A,153,"IncomeCategories_(For_Premium_Users)_PK","IncomeCategories_(For_Premium_Users)","category_id",1,ASC,
A9339518-079F-0CF5-1553-1F21FDF3830E,202,9EF69494-8F2E-EBBB-C1B1-4571EC24BA01,178,33D7FA58-130E-71FC-641D-B65834805AC6,154,"Incomes_(For_Premium_Users)_PK","Incomes_(For_Premium_Users)","income_id",1,ASC,
65A32DE8-D95C-E896-BE48-3FC55EE76E13,203,4FA99E95-579F-5194-D86D-B1CB8422E84C,194,B336B49B-DAD4-4065-0A6D-0E176EB19CDE,155,"Users_PK","Users","user_id",1,ASC,
C8CE3BB9-8D76-3DDB-9B59-2F2A68DD6895,204,D6E45746-E4B8-E1DD-EC81-FEBEE2BDBE9D,191,8107D623-C9C0-39A2-6ACE-58AAF7A96316,150,"Budgets_(for_premium_users)_Users_FK","Budgets_(for_premium_users)","user_id",1,ASC,
B9B6DED7-9BEF-7E55-7921-441C6D164143,205,1F0A3C47-AED5-6E42-9313-5FF9E5F9163C,190,C6DD007D-4963-AA16-0A4C-1A11A505E668,149,"BasicUserTransactions_Users_FK","BasicUserTransactions","user_id",1,ASC,
1931EE87-A48D-4A34-18CE-D33B8A36CE11,206,044CB160-6CB4-BA33-D4A0-89122D77A6A4,193,9A6BC923-64FD-AD40-1246-0FF1FC3AD78A,153,"IncomeCategories_(For_Premium_Users)_Users_FK","IncomeCategories_(For_Premium_Users)","user_id",1,ASC,
B3D05289-F66A-7FFF-FBC4-C1A5FFE5AE91,207,13FD4DAD-C810-5B9E-2001-46CFD42CC821,192,2377A240-78E0-EC57-8C3F-6A3292D0682D,151,"ExpenseCategories_(For_Premium_Users)_Users_FK","ExpenseCategories_(For_Premium_Users)","user_id",1,ASC,
FA709CFE-9CD8-A140-407B-5CD5096D3A67,208,A7C3242C-279D-015C-9C7D-BE771F3FD207,160,33D7FA58-130E-71FC-641D-B65834805AC6,154,"Incomes_(For_Premium_Users)_Budgets_(for_premium_users)_FK","Incomes_(For_Premium_Users)","budget_id",1,ASC,
A3B4719F-1F5C-9CD3-6CBC-E11303750602,209,68028441-CB23-4591-42EF-EB42A625CA2C,165,33D7FA58-130E-71FC-641D-B65834805AC6,154,"Incomes_(For_Premium_Users)_IncomeCategories_(For_Premium_Users)_FK","Incomes_(For_Premium_Users)","category_id",1,ASC,
1FB39CB0-C4F3-93E0-04DC-24E2E76F2B71,210,71A2434B-EE5F-9125-8361-3CE4AA7EB4E6,159,2AAB9569-423D-1D66-AD84-27A2305C61AA,152,"Expenses_(For_Premium_Users)_Budgets_(for_premium_users)_FK","Expenses_(For_Premium_Users)","budget_id",1,ASC,
A9AAF63C-ADB8-2505-0ECE-0728F1633F3B,211,BE10E9FC-851A-6646-7A10-11B2107DBEE2,163,2AAB9569-423D-1D66-AD84-27A2305C61AA,152,"Expenses_(For_Premium_Users)_ExpenseCategories_(For_Premium_Users)_FK","Expenses_(For_Premium_Users)","category_id",1,ASC,
