ModelID,Num_ModelID,Model_Name,Model_Type,RDBMS_Type
D08C6721-FEFA-DAB4-06ED-71E84DFD35C6,84,"Logical",Logical,,
F7869BDB-9924-DD1B-523F-C10F163DBEC8,148,"Relational_1",Relational,Oracle Database 12c,
